"State or other
 jurisdiction",1968 (a),1970 (a),1972,1976 (a),1979,1980,1981,1988,1991,1992,1994,1996,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ohio,.75 - 1.25(b),.75 - 1.25(b),.75 - 1.25(b),1.6,2.3,2.3,2.3,2.3,3.80(g),4.25(g),4.25(g),4.25(g),4.25(g),4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),6.85,7,7.3,7.3,7.4,7.7,7.85,7.25-7.95,7.25-8.10
Oklahoma,1,1,1.4,1.8,2,2,3.1,3.35,3.80(g),4.25(g),4.25(g),4.25(g),4.75(g),5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15,2.00-5.15(g),2.00-5.85(g),2.00-6.55(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,1.25,1.25,1.25`,2.3,2.3,2.9,3.1,3.35,4.75,4.75,4.75,4.75,5.5,6,6.5,6.5,6.5,6.9,7.05,7.25,7.5,7.8,7.95,8.4,8.4,8.5,8.8,8.95,9.1,9.25
Pennsylvania,1.15,1.3,1.6,2.2,2.9,3.1,3.35,3.35,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,7.15,7.15,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,1.4,1.6,1.6,2.3,2.3,2.65,2.9,3.65,4.25,4.45,4.45,4.45,5.15,5.15,5.65,6.15,6.15,6.15,6.75,6.75,6.75,7.4,7.4,7.4,7.4,7.4,7.4,7.75,8,9
South Carolina,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
South Dakota,.5,1,1,2,2.3,2.3,2.3,2.8,3.8,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8.5
Tennessee,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Texas,...,...,1.4,1.4,1.4,1.4,1.4,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25
Utah,1.00 - 1.15(b),1.00 - 1.15(b),1.20 - 1.35(b),1.55 - 1.70(b),2.20 - 2.45(b),2.35 - 2.60(b),2.50 - 2.75(b),2.50 - 2.75(b),3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,1.4,1.6,1.6,2.3,2.9,3.1,3.35,3.55,3.85,4.25,4.25,4.75(e),5.00(e),5.25(e),5.75(e),6.25(e),6.25(e),6.25(e),6.75(e),7.00(e),7.25,7.53(e),7.68(e),8.06(e),8.06(e),8.15(e),8.46(e),8.60(e),8.73(e),9.15(e)
Virginia,...,...,...,2,2.35,2.35,2.65,2.65,2.65,3.65,4.25,4.25[c],4.75[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.85[c],6.55[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c]
Washington,1.6,1.6,1.6,2.20 - 2.30,2.3,2.3,2.3,2.3,4.25,4.25,4.25,4.9,4.9,4.9,6.5,6.72,6.9,7.01,7.16,7.35,7.63,7.93,8.07,8.55,8.55,8.67,9.04,9.19,9.32,9.47
West Virginia,1,1,1.2,2,2.2,2.2,2.75,3.35,3.35,3.8,4.25,4.25 (d),4.25 (d),4.75 (d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,8
Wisconsin,1.25 (b),1.30 (b),1.45 (b),2.1,2.8,3,3.25,3.35,3.8,3.8,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.7,6.5,6.5,6.5,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,1.2,1.3,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
District of Columbia,1.25 - 1.40,1.60 - 2.00,1.60 - 2.25,2.25 - 2.75,2.46 - 3.00,2.50 - 3.50,2.50 - 3.75,3.50 - 4.85,3.70 - 4.85,3.90 - 5.45,4.25,5.25 (h),5.75,6.15,6.15,6.15,6.15,6.15,6.15,6.6,7,7,7,7.55,8.25,8.25,8.25,8.25,9.5,10.5
Guam,1.25,1.6,1.9,2.3,2.9,3.1,3.35,3.35,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,5.85,7.25,7.25,7.25,7.25,7.25,8.25
Puerto Rico,.43 - 1.60,.43 - 1.60,.65 - 1.60,.76 - 2.50,1.20 - 2.50,1.20 - 2.50,1.20 - 3.10,1.20 - 3.35,1.20 - 4.25(i),1.20 - 4.25(i),1.20 - 4.25(i),1.20 - 4.75(i),1.20 - 4.75(i),1.20 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61-5.15(i),3.61-5.15(i),4.10(i),5.08 – 7.25 (i2),5.08 – 7.25 (i2),5.08 – 7.25 (i2),5.08 – 7.25 (i2),5.08-7.25(i),5.08-7.25(i)
U.S. Virgin Islands,NA,NA,NA,NA,2.9,3.1,3.35,3.35,"4.65(g,,j)","4.65(g,,j)","4.65(g,,j)",4.65(g),"4.65(g, j)","4.65(g, j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)",4.30 - 4.65 (g),"4.30-6.15(g,j)",4.30-6.15(j),4.30-6.15(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j)
